ᎡᎦ	e³ga	ee3ga
ᏕᎩᎾᏓᏚᎵᏍᎪᎢ	de²gị²nạ²dạ²du²li²³sgọ³ɂi	dee2gi2na2da2duu2lii23sgo3-i
ᏙᎩᎾᏓᏚᎵᏍᎪᎢ	do¹gị²nạ²dạ²du²li²³sgọ³ɂi	doo1gi2na2da2duu2lii23sgo3-i
ᏕᏍᏓᏓᏙᎵᎪᎢ	de²sdạ²da²dohl²go³ɂi	dee2sdaa2daa2dohl2goo3-i
ᎦᎴᎦ	gạɂ³le¹ga	ga-3lee1ga
ᏍᏗᏥ	sdi²ji	sdii2ji
ᎪᎵᎪᎢ	go²li²go³ɂi	goo2lii2goo3-i
ᏣᏤᎵᎢ	jạ²je²li⁴ɂi	jaa2jee2lii4-i
ᎭᏗᎭ	hạ²dị²ha	ha2di2ha
ᏧᏚᎸᏗ	ju²duhl²di	juu2duhl2di
ᏍᏓᏓ	sdạ²da²	sda2da2
ᎠᎾᏗᎭ	a¹nạ²dị²ha	aa1na2di2ha
ᎢᎩᎬᎢ	i¹gi²gv²³ɂi	ii1gii2gvv23-i
ᎢᎾᏗᎭ	i¹nạ²dị²ha	ii1na2di2ha
ᎠᎦᏚᎵᎭ	a¹gạ²du²lị³ha	aa1ga2duu2li3ha
ᎢᏓᏗᎭ	i¹dạ²dị²ha	ii1da2di2ha
ᎣᎩᎬᎢ	o¹gi²gv²³ɂi	oo1gii2gvv23-i
ᏍᏛᎪᏩᏘᎭ	sdv²gowh²tị³ha	sdvv2gowh2ti3ha
ᎢᏣᏓ	i¹jạ²da²	ii1ja2da2
ᎤᏩᏌ	ụ²wa²³sa	uu2waa23sa
ᎤᏂᎲᎢ	u¹ni²hv²³ɂi	uu1nii2hvv23-i
ᎡᎩᎪᎲᎢ	e¹gi²go²hv²³ɂi	ee1gii2goo2hvv23-i
ᎡᏂᎪᎲᎢ	e¹ni²go²hv²³ɂi	ee1nii2goo2hvv23-i
ᎠᎩᎩᏍᏗ	a¹gị²gi¹sdi	aa1gi2gii1sdi
ᎡᏗᎪᎲᎢ	e¹di²go²hv²³ɂi	ee1dii2goo2hvv23-i
ᎡᏥᎪᎲᎢ	e¹ji²go²hv²³ɂi	ee1jii2goo2hvv23-i
ᎩᏂᎮᏍᏗ	gị²ni²he³sdi	gi2nii2hee3sdi
ᎢᏨᎪᏩᏛᏗ	i¹jv²gowh²tvh³di	ii1jvv2gowh2tvh3di
ᏗᏥᎩᏍᏗ	dị²ji²gi¹sdi	di2jii2gii1sdi
ᎣᎩᏂᎬᎢ	o¹gị²ni²gv²³ɂi	oo1gi2nii2gvv23-i
ᎨᏃᎵᏨᎢ	ge²nohl²jv²³ɂi	gee2nohl2jvv23-i
ᎨᏙᎵᏨᎢ	ge²do²li²jv²³ɂi	gee2doo2lii2jvv23-i
ᎨᏥᎪᎲᎢ	ge²ji²go²hv²³ɂi	gee2jii2goo2hvv23-i
ᏬᏦᎵᎩ	wo¹jo²li¹gi	woo1joo2lii1gi
ᏍᎩᎪᎲᎢ	sgị²go²hv²³ɂi	sgii2goo2hvv23-i
ᎬᏆᏚᎵᎭ	gv²gwạ²du²lị³ha	gvv2gwa2duu2li3ha
ᎬᏯᏚᎸᏗ	gv²yạ²duhl²di	gvv2ya2duhl2di
ᏗᎦᏚᎳ	dị²gạ²du²³la	di2ga2duu23la
ᏚᏂᎪᎲᎢ	du¹ni²go²hv²³ɂi	duu1nii2goo2hvv23-i
ᏥᏯᏚᎸᏗ	ji²yạ²duhl²di	jii2ya2duhl2di
ᏦᎦᏚᎸᏗ	jo¹gạ²duhl²di	joo1ga2duhl2di
ᏓᏂᎪᏩᏘᎭ	da¹ni²gowh²tị³ha	daa1nii2gowh2ti3ha
ᏬᏍᏙᎵᎩ	wo¹sdo²li¹gi	woo1sdoo2lii1gi
ᎡᏍᏗᎪᎲᎢ	e¹sdi²go²hv²³ɂi	ee1sdii2goo2hvv23-i
ᎡᏣᎪᏩᏘᎭ	e¹jạ²gowh²tị³ha	ee1ja2gowh2ti3ha
ᎥᎩᎪᎲᎢ	v¹gị²go²hv²³ɂi	vv1gi2goo2hvv23-i
ᎢᏍᎩᎪᏩᏘᎭ	i¹sgi²gowh²tị³ha	ii1sgii2gowh2ti3ha
ᎦᎯᎪᏩᏘᎭ	gạ²hi²gowh²tị³ha	ga2hii2gowh2ti3ha
ᏗᏆᏚᎸᏗ	dị¹gwạ²duhl²di	di1gwa2duhl2di
ᎨᏍᏗᎪᎲᎢ	ge²sdi²go²hv²³ɂi	gee2sdii2goo2hvv23-i
ᏕᏍᏓᏚᎳ	de²sdạ²du²³la²	dee2sda2duu23la2
ᏫᎨᎪᎵᎩ	wị²ge²gohl²gi	wi2gee2gohl2gi
ᏫᎪᎪᎵᎩ	wị²go²gohl²gi	wi2goo2gohl2gi
ᏕᏣᎪᎲᎢ	de²jạ²go²hv²³ɂi	dee2ja2goo2hvv23-i
ᏫᎪᏦᎵᎩ	wị²go²johl²gi	wi2goo2johl2gi
ᏍᏓᏓᎪᏩᏛᏗ	sdạ²da²gowh²tvh³di	sdaa2daa2gowh2tvh3di
ᎦᏥᏲᎵᏨᎢ	gạ²ji²yohl²jv²³ɂi	ga2jii2yohl2jvv23-i
ᏍᎩᏃᎵᎪᎢ	sgị²no²li²go³ɂi	sgi2noo2lii2goo3-i
ᎡᎩᏂᎪᎲᎢ	e¹gị²ni²go²hv²³ɂi	ee1gi2nii2goo2hvv23-i
ᎢᏣᏓᎪᏩᏛᏗ	i¹jạ²da²gowh²tvh³di	ii1ja2daa2gowh2tvh3di
ᏫᎪᏍᏙᎵᎩ	wị²go²sdohl²gi	wi2goo2sdohl2gi
ᏗᎩᎾᏚᎳ	dị²gị²nạ²du²³la	di2gi2na2duu23la
ᏦᎩᎾᏚᎸᏗ	jo¹gị²nạ²duhl²di	joo1gi2na2duhl2di
ᏫᏗᎪᎵᎩ	wị²dị²gohl²gi	wi2di2gohl2gi
ᏕᏣᏓᏚᎵᎭ	de³jạ²dạ²du²lị³ha	dee3ja2da2duu2li3ha
ᏕᏍᏓᏓᏚᎵᎭ	de²sdạ²dạ²du²lị³ha	dee2sdaa2da2duu2li3ha
ᏫᎨᎩᏃᎵᎩ	wị²ge²gị²nohl²gi	wi2gee2gi2nohl2gi
ᏫᎪᎩᏃᎵᎩ	wị²go²gị²nohl²gi	wi2goo2gi2nohl2gi
ᏍᏛᏥ	sdv²ji	sdvv2ji
ᎪᎵᎦ	gohl²ga²	gohl2ga2
ᏭᏚᎳ	wu²du²³la	wuu2duu23la
ᏚᏚᎵᎭ	du²du²lị³ha	duu2duu2li3ha
ᎯᎪᏩᏘᎭ	hi²gowh²tị³ha	hii2gowh2ti3ha
ᎮᎪᎢ	he³gọ³ɂi	hee3go3-i
ᏍᏗᎰᎢ	sdi²ho³ɂi	sdii2hoo3-i
ᏣᎩᏍᏗ	jạ²gi¹sdi	ja2gii1sdi
ᏥᎩᎠ	jị²gị³ɂa	ji2gi3-a
ᎠᏁᎪᎢ	a¹ne³gọ³ɂi	aa1nee3go3-i
ᎢᎩᎮᏍᏗ	i¹gi²he³sdi	ii1gii2hee3sdi
ᎢᏁᎪᎢ	i¹ne³gọ³ɂi	ii1nee3go3-i
ᎢᏥᎰᎢ	i¹ji²ho³ɂi	ii1jii2hoo3-i
ᎢᏕᎪᎢ	i¹de³gọ³ɂi	ii1dee3go3-i
ᎣᎩᎮᏍᏗ	o¹gi²he³sdi	oo1gii2hee3sdi
ᎤᏂᎸᏍᏗ	u¹ni²lv¹sdi	uu1nii2lvv1sdi
ᎠᎩᎬᎢ	a¹gị²gv²³ɂi	aa1gi2gvv23-i
ᎡᎩᎪᏩᏔ	e¹gi²go¹wah²ta²	ee1gii2goo1wah2ta2
ᎩᏂᎲᎢ	gị²ni²hv²³ɂi	gi2nii2hvv23-i
ᎡᏂᎪᏩᏔ	e¹ni²go¹wah²ta²	ee1nii2goo1wah2ta2
ᎡᏗᎪᏩᏔ	e¹di²go¹wah²ta²	ee1dii2goo1wah2ta2
ᏕᏍᏗᎩᏍᎪᎢ	de²sdi²gi³sgo³ɂi	dee2sdii2gii3sgoo3-i
ᎡᏥᎪᏩᏔ	e¹ji²go¹wah²ta²	ee1jii2goo1wah2ta2
ᎣᎩᏂᎮᏍᏗ	o¹gị²ni²he³sdi	oo1gi2nii2hee3sdi
ᎨᎦᏚᎵᎭ	ge²gạ²du²lị³ha	gee2ga2duu2li3ha
ᎨᎾᏚᎵᎭ	ge²nạ²du²lị³ha	gee2na2duu2li3ha
ᎨᏓᏚᎵᎭ	ge²dạ²du²lị³ha	gee2da2duu2li3ha
ᏬᏦᎵᎩ	wo¹johl²gi	woo1johl2gi
ᎪᎦᏚᎵᎭ	go²gạ²du²lị³ha	goo2ga2duu2li3ha
ᎪᏣᏚᎵᎭ	go²jạ²du²lị³ha	goo2ja2duu2li3ha
ᎨᏥᎪᏩᏔ	ge²ji²go¹wah²ta²	gee2jii2goo1wah2ta2
ᎬᏲᎵᏨᎢ	gv²yo²li²jv²³ɂi	gvv2yoo2lii2jvv23-i
ᏍᎩᎪᏩᏔ	sgị²go¹wah²ta²	sgii2goo1wah2ta2
ᏕᏣᏚᎵᎭ	de²jạ²du²lị³ha	dee2ja2duu2li3ha
ᏚᏃᎵᏨᎢ	du¹nohl²jv²³ɂi	duu1nohl2jvv23-i
ᎠᏥᎪᎲᎢ	a¹jị²go²hv²³ɂi	aa1ji2goo2hvv23-i
ᏕᎦᏚᎵᎭ	de³gạ²du²lị³ha	dee3ga2duu2li3ha
ᏥᏲᎵᏨᎢ	ji²yo²li²jv²³ɂi	jii2yoo2lii2jvv23-i
ᏕᏣᏚᎵᎭ	de³jạ²du²lị³ha	dee3ja2duu2li3ha
ᏬᏍᏙᎵᎩ	wo²sdohl²gi	woo2sdohl2gi
ᏙᎦᏚᎵᎭ	do¹gạ²du²lị³ha	doo1ga2duu2li3ha
ᎡᏍᏗᎪᏩᏔ	e¹sdi²go¹wah²ta²	ee1sdii2goo1wah2ta2
ᎡᏣᎪᏩᏘᏍᎪᎢ	e¹jạ²gowh²ti²³sgọ³ɂi	ee1ja2gowh2tii23sgo3-i
ᎥᎩᎪᏩᏔ	v¹gị²go¹wah²ta²	vv1gi2goo1wah2ta2
ᎪᏍᏓᏚᎵᎭ	go²sdạ²du²lị³ha	goo2sda2duu2li3ha
ᏍᏛᏯᏚᎳ	sdv²yạ²du²³la²	sdvv2ya2duu23la2
ᎨᏍᏗᎪᏩᏔ	ge²sdi²go¹wah²ta²	gee2sdii2goo1wah2ta2
ᎬᎩᎪᏩᏛᏗ	gv²gi²gowh²tvh³di	gvv2gii2gowh2tvh3di
ᎢᏨᏲᎵᎪᎢ	i¹jv²yo²li²go³ɂi	ii1jvv2yoo2lii2goo3-i
ᏍᎩᏃᎵᎪᎢ	sgi²̣nohl²go³ɂi	sgii2nohl2goo3-i
ᎢᏍᎩᏯᏚᎳ	i¹sgi²yạ²du²³la²	ii1sgii2ya2duu23la2
ᎦᎯᏯᏚᎳ	gạ²hi²yạ²du²³la²	ga2hii2ya2duu23la2
ᎨᎩᎾᏚᎵᎭ	ge²gị²nạ²du²lị³ha	gee2gi2na2duu2li3ha
ᎪᎩᎾᏚᎵᎭ	go²gị²nạ²du²lị³ha	goo2gi2na2duu2li3ha
ᏕᎩᎾᏚᎵᎭ	de²gị²nạ²du²lị³ha	dee2gi2na2duu2li3ha
ᏍᏓᏓᏙᎵᎪᎢ	sdạ²da²dohl²go³ɂi	sdaa2daa2dohl2goo3-i
ᎡᎩᏂᎪᏩᏔ	e¹gị²ni²go¹wah²ta²	ee1gi2nii2goo1wah2ta2
ᏙᎩᎾᏚᎵᎭ	do¹gị²nạ²du²lị³ha	doo1gi2na2duu2li3ha
ᎢᏣᏓᏙᎵᎪᎢ	i¹jạ²da²dohl²go³ɂi	ii1ja2daa2dohl2goo3-i
ᏗᏣᏓᏚᎸᏗ	dị²jạ²dạ²duhl²di	di2ja2da2duhl2di
ᏫᎦᏥᎪᏩᏔ	wị²gạ²ji²go¹wah²ta	wi2ga2jii2goo1wah2ta
ᏗᏍᏓᏓᏚᎸᏗ	dị²sdạ²dạ²duhl²di	di2sdaa2da2duhl2di
ᏫᏗᏂᎪᏩᏔ	wị²dị²ni²go¹wah²ta	wi2di2nii2goo1wah2ta
ᎠᎩᎠ	ạ²gị³ɂa	a2gi3-a
ᎯᎷᎦ	hịɂ²lu¹ga	hi-2luu1ga
ᎤᎪᎲᎢ	u¹go²hv²³ɂi	uu1goo2hvv23-i
ᏥᎷᎦ	jịɂ²lu¹ga²	ji-2luu1ga2
ᏣᎬᎢ	jạ²gv²³ɂi	ja2gvv23-i
ᏍᏆᏚᎵᎭ	sgwạ²du²lị³ha	sgwa2duu2li3ha
ᎢᎩᎲᎢ	i¹gi²hv²³ɂi	ii1gii2hvv23-i
ᏧᎪᏩᏛᏗ	ju²gowh²tvh³di	juu2gowh2tvh3di
ᎠᏂᎩᎠ	a¹ni²gị³ɂa	aa1nii2gi3-a
ᏍᏙᎵᎦ	sdohl²ga	sdohl2ga
ᎡᎪᎵᏨᎢ	e¹go²li²jv²³ɂi	ee1goo2lii2jvv23-i
ᎢᏂᎩᎠ	i¹ni²gị³ɂa	ii1nii2gi3-a
ᎣᎩᎲᎢ	o¹gi²hv²³ɂi	oo1gii2hvv23-i
ᎡᏃᎵᏨᎢ	e¹no²li²jv²³ɂi	ee1noo2lii2jvv23-i
ᎢᏗᎩᎠ	i¹di²gị³ɂa	ii1dii2gi3-a
ᎡᏙᎵᏨᎢ	e¹do²li²jv²³ɂi	ee1doo2lii2jvv23-i
ᏓᎪᏩᏘᏍᎪᎢ	dạ²gowh²ti²³sgọ³ɂi	da2gowh2tii23sgo3-i
ᎣᏣᏗᎭ	o¹jạ²dị²ha	oo1ja2di2ha
ᎡᏦᎵᏨᎢ	e¹jo²li²jv²³ɂi	ee1joo2lii2jvv23-i
ᎩᏂᎸᏍᏗ	gị²ni²lv¹sdi	gi2nii2lvv1sdi
ᎣᏍᏓᏗᎭ	o²sdạ²dị²ha	oo2sda2di2ha
ᎠᎩᎮᏍᏗ	a¹gị²he³sdi	aa1gi2hee3sdi
ᎤᏃᎵᏍᏗ	u¹no²hlị³sdi	uu1noo2hli3sdi
ᎢᏦᎵᎦ	i¹johl²ga	ii1johl2ga
ᎣᎩᏂᎲᎢ	o¹gị²ni²hv²³ɂi	oo1gi2nii2hvv23-i
ᎥᏆᏚᎵᎭ	v¹gwạ²du²lị³ha	vv1gwa2duu2li3ha
ᏕᏥᎩᏍᎪᎢ	de³ji²gi³sgo³ɂi	dee3jii2gii3sgoo3-i
ᎨᎩᎪᏩᏛᏗ	ge²gi²gowh²tvh³di	gee2gii2gowh2tvh3di
ᎨᏦᎵᏨᎢ	ge²johl²jv²³ɂi	gee2johl2jvv23-i
ᎪᎩᎪᏩᏛᏗ	go²gi²gowh²tvh³di	goo2gii2gowh2tvh3di
ᎪᏥᎪᏩᏛᏗ	go²ji²gowh²tvh³di	goo2jii2gowh2tvh3di
ᏦᎩᎪᏩᏛᏗ	jo¹gi²gowh²tvh³di	joo1gii2gowh2tvh3di
ᎯᏯᏚᎳ	hi²yạ²du²³la²	hii2ya2duu23la2
ᏓᏆᏚᎸᎲᎢ	da¹gwạ²du²lv²hv²³ɂi	daa1gwa2duu2lvv2hvv23-i
ᏓᏂᎪᏩᏘᏍᎪᎢ	da¹ni²gowh²ti²³sgọ³ɂi	daa1nii2gowh2tii23sgo3-i
ᏧᎾᏚᎸᏗ	ju¹nạ²duhl²di	juu1na2duhl2di
ᎡᏍᏙᎵᏨᎢ	e¹sdo²li²jv²³ɂi	ee1sdoo2lii2jvv23-i
ᎠᏥᎪᏩᏔ	a¹jị²go¹wah²ta²	aa1ji2goo1wah2ta2
ᏫᎬᎪᏩᏔ	wị²gv²go¹wah²ta	wi2gvv2goo1wah2ta
ᏫᏥᎪᏩᏔ	wị²ji²go¹wah²ta	wi2jii2goo1wah2ta
ᎨᏍᏙᎵᏨᎢ	ge²sdohl²jv²³ɂi	gee2sdohl2jvv23-i
ᏍᏛᏯᏚᎸᏗ	sdv²yạ²duhl²di	sdvv2ya2duhl2di
ᏗᎦᏚᎸᏗ	dị²gạ²duhl²di	di2ga2duhl2di
ᎨᏂᎪᎲᎢ	ge²ni²go²hv²³ɂi	gee2nii2goo2hvv23-i
ᏗᏣᏚᎸᏗ	dị²jạ²duhl²di	di2ja2duhl2di
ᎨᏗᎪᎲᎢ	ge²di²go²hv²³ɂi	gee2dii2goo2hvv23-i
ᎪᏍᏗᎪᏩᏛᏗ	go²sdi²gowh²tvh³di	goo2sdii2gowh2tvh3di
ᎡᎩᏃᎵᏨᎢ	e¹gị²no²li²jv²³ɂi	ee1gi2noo2lii2jvv23-i
ᏍᎩᎾᏚᎳ	sgị²nạ²du²³la²	sgi2na2duu23la2
ᏍᏓᏓᏚᎵᎭ	sdạ²dạ²du²lị³ha	sdaa2da2duu2li3ha
ᏕᏍᏗᎪᎲᎢ	de²sdi²go²hv²³ɂi	dee2sdii2goo2hvv23-i
ᎢᏨᏲᎵᎪᎢ	i¹jv²yohl²go³ɂi	ii1jvv2yohl2goo3-i
ᏫᎬᏆᏚᎳ	wị²gv²gwạ²du²³la	wi2gvv2gwa2duu23la
ᎢᏍᎩᏯᏚᎸᏗ	i¹sgi²yạ²duhl²di	ii1sgii2ya2duhl2di
ᎢᏣᏓᏚᎵᎭ	i¹jạ²dạ²du²lị³ha	ii1ja2da2duu2li3ha
ᎦᎯᏯᏚᎸᏗ	gạ²hi²yạ²duhl²di	ga2hii2ya2duhl2di
ᎨᎩᏂᎪᏩᏛᏗ	ge²gị²ni²gowh²tvh³di	gee2gi2nii2gowh2tvh3di
ᎪᎩᏂᎪᏩᏛᏗ	go²gị²ni²gowh²tvh³di	goo2gi2nii2gowh2tvh3di
ᏦᎩᏂᎪᏩᏛᏗ	jo¹gị²ni²gowh²tvh³di	joo1gi2nii2gowh2tvh3di
ᏗᎩᎾᏚᎸᏗ	dị²gị²nạ²duhl²di	di2gi2na2duhl2di
ᏫᎦᏥᏲᎵᎩ	wị²gạ²ji²yohl²gi	wi2ga2jii2yohl2gi
ᏕᏣᏓᎪᏩᏘᎭ	de³jạ²da²gowh²tị³ha	dee3ja2daa2gowh2ti3ha
ᏕᏍᏓᏓᎪᏩᏘᎭ	de²sdạ²da²gowh²tị³ha	dee2sdaa2daa2gowh2ti3ha
ᏣᏥ	jạ²ji	ja2ji
ᎦᎷᎦ	gạɂ²lu¹ga²	ga-2luu1ga2
ᎯᎴᎦ	hịɂ³le¹ga	hi-3lee1ga
ᎢᏂᎷᎦ	i¹niɂ²lu¹ga	ii1ni-2luu1ga
ᏍᏙᎵᎩ	sdohl²gi	sdohl2gi
ᎢᏗᎷᎦ	i¹diɂ²lu¹ga	ii1di-2luu1ga
ᏣᎮᏍᏗ	jạ²he³sdi	ja2hee3sdi
ᎢᎩᎸᏍᏗ	i¹gi²lv¹sdi	ii1gii2lvv1sdi
ᎠᏂᎴᎦ	a¹niɂ³le¹ga	aa1ni-3lee1ga
ᎣᎩᎸᏍᏗ	o¹gi²lv¹sdi	oo1gii2lvv1sdi
ᎡᎦᏚᎵᎭ	e¹gạ²du²lị³ha	ee1ga2duu2li3ha
ᎤᏪᏅᏍᏗ	u¹we²nv¹sdi	uu1wee2nvv1sdi
ᏫᎦᏓ	wị²gạ²da	wi2ga2da
ᎣᏤᎪᎢ	o¹je³gọ³ɂi	oo1jee3go3-i
ᎡᎾᏚᎵᎭ	e¹nạ²du²lị³ha	ee1na2duu2li3ha
ᎤᎾᏤᎵᎢ	u¹nạ²je²li⁴ɂi	uu1naa2jee2lii4-i
ᎡᏓᏚᎵᎭ	e¹dạ²du²lị³ha	ee1da2duu2li3ha
ᎣᏍᏕᎪᎢ	o²sde³gọ³ɂi	oo2sdee3go3-i
ᎣᎩᏂᎸᏍᏗ	o¹gị²ni²lv¹sdi	oo1gi2nii2lvv1sdi
ᎢᏦᎵᎩ	i¹johl²gi	ii1johl2gi
ᎡᏣᏚᎵᎭ	e¹jạ²du²lị³ha	ee1ja2duu2li3ha
ᎠᎩᎲᎢ	a¹gị²hv²³ɂi	aa1gi2hvv23-i
ᎨᏣᏚᎵᎭ	ge²jạ²du²lị³ha	gee2ja2duu2li3ha
ᎨᎩᎪᏩᏘᎭ	ge²gi²gowh²tị³ha	gee2gii2gowh2ti3ha
ᎪᎩᎪᏩᏘᎭ	go²gi²gowh²tị³ha	goo2gii2gowh2ti3ha
ᎯᏯᏚᎸᏗ	hi²yạ²duhl²di	hii2ya2duhl2di
ᎪᏥᎪᏩᏘᎭ	go²ji²gowh²tị³ha	goo2jii2gowh2ti3ha
ᎠᏥᎪᏩᏛᏗ	a¹jị²gowh²tvh³di	aa1ji2gowh2tvh3di
ᏕᏣᏚᎸᎲᎢ	de²jạ²du²lv²hv²³ɂi	dee2ja2duu2lvv2hvv23-i
ᎩᏃᎵᏍᏗ	gị²no²hlị³sdi	gi2noo2hli3sdi
ᏚᎾᏚᎵᎭ	du¹nạ²du²lị³ha	duu1na2duu2li3ha
ᎥᎩᎪᏩᏛᏗ	v¹gị²gowh²tvh³di	vv1gi2gowh2tvh3di
ᎡᏍᏓᏚᎵᎭ	e¹sdạ²du²lị³ha	ee1sda2duu2li3ha
ᏫᏨᏯᏚᎳ	wi¹jv²yạ²du²³la	wii1jvv2ya2duu23la
ᏍᏛᏲᎵᏨᎢ	sdv²yo²li²jv²³ɂi	sdvv2yoo2lii2jvv23-i
ᎨᏂᎪᏩᏔ	ge²ni²go¹wah²ta²	gee2nii2goo1wah2ta2
ᏍᎩᎾᏚᎸᏗ	sgị²nạ²duhl²di	sgi2na2duhl2di
ᎨᏗᎪᏩᏔ	ge²di²go¹wah²ta²	gee2dii2goo1wah2ta2
ᏗᎩᎪᏩᏛᏗ	dị²gi²gowh²tvh³di	di2gii2gowh2tvh3di
ᎢᏍᎩᏲᎵᏨᎢ	i¹sgi²yohl²jv²³ɂi	ii1sgii2yohl2jvv23-i
ᎦᎯᏲᎵᏨᎢ	gạ²hi²yohl²jv²³ɂi	ga2hii2yohl2jvv23-i
ᎪᏍᏗᎪᏩᏘᎭ	go²sdi²gowh²tị³ha	goo2sdii2gowh2ti3ha
ᏕᏥᎪᎲᎢ	de³ji²go²hv²³ɂi	dee3jii2goo2hvv23-i
ᎡᎩᎾᏚᎵᎭ	e¹gị²nạ²du²lị³ha	ee1gi2na2duu2li3ha
ᏫᎬᏲᎵᎩ	wị²gv²yo²li¹gi	wi2gvv2yoo2lii1gi
ᏫᏥᏲᎵᎩ	wị²ji²yo²li¹gi	wi2jii2yoo2lii1gi
ᏕᏍᏗᎪᏩᏔ	de²sdi²go¹wah²ta²	dee2sdii2goo1wah2ta2
ᏗᎩᎪᏩᏛᏗ	dị¹gị²gowh²tvh³di	di1gi2gowh2tvh3di
ᏫᏦᎦᏚᎳ	wị²jo¹gạ²du²³la	wi2joo1ga2duu23la
ᎦᏥᏯᏚᎵᎭ	gạ²ji²yạ²du²lị³ha	ga2jii2ya2duu2li3ha
ᏫᎨᏍᏙᎵᎩ	wị²ge²sdohl²gi	wi2gee2sdohl2gi
ᏍᏓᏓᎪᏩᏘᎭ	sdạ²da²gowh²tị³ha	sdaa2daa2gowh2ti3ha
ᏕᏣᏓᏙᎵᏨᎢ	de³jạ²da²dohl²jv²³ɂi	dee3ja2daa2dohl2jvv23-i
ᎢᏣᏓᎪᏩᏘᎭ	i¹jạ²da²gowh²tị³ha	ii1ja2daa2gowh2ti3ha
ᏕᏍᏓᏓᏙᎵᏨᎢ	de²sdạ²da²dohl²jv²³ɂi	dee2sdaa2daa2dohl2jvv23-i
ᎨᎩᏂᎪᏩᏘᎭ	ge²gị²ni²gowh²tị³ha	gee2gi2nii2gowh2ti3ha
ᏗᎩᏂᎪᏩᏛᏗ	dị²gị²ni²gowh²tvh³di	di2gi2nii2gowh2tvh3di
ᎪᎩᏂᎪᏩᏘᎭ	go²gị²ni²gowh²tị³ha	goo2gi2nii2gowh2ti3ha
ᏫᏦᎩᎾᏚᎳ	wị²jo¹gị²nạ²du²³la	wi2joo1gi2na2duu23la
ᎪᎵᎪᎢ	gohl²go³ɂi	gohl2goo3-i
ᎰᎵᎦ	hohl²ga²	hohl2ga2
ᏣᎲᎢ	jạ²hv²³ɂi	ja2hvv23-i
ᏍᏓᏗᎭ	sdạ²dị²ha	sda2di2ha
ᎢᏂᎴᎦ	i¹niɂ³le¹ga	ii1ni-3lee1ga
ᎠᎦᏚᎸᎲᎢ	a¹gạ²du²lv²hv²³ɂi	aa1ga2duu2lvv2hvv23-i
ᎢᏗᎴᎦ	i¹diɂ³le¹ga	ii1di-3lee1ga
ᎠᏃᎵᎦ	a¹nohl²ga²	aa1nohl2ga2
ᎠᎩᎸᏍᏗ	a¹gị²lv¹sdi	aa1gi2lvv1sdi
ᎡᎩᎪᏩᏛᏗ	e¹gi²gowh²tvh³di	ee1gii2gowh2tvh3di
ᎣᏥᎩᎠ	o¹ji²gị³ɂa	oo1jii2gi3-a
ᎢᎪᎵᏍᏗ	i¹go²hlị³sdi	ii1goo2hli3sdi
ᎡᏂᎪᏩᏛᏗ	e¹ni²gowh²tvh³di	ee1nii2gowh2tvh3di
ᎡᏗᎪᏩᏛᏗ	e¹di²gowh²tvh³di	ee1dii2gowh2tvh3di
ᎣᎪᎵᏍᏗ	o¹go²hlị³sdi	oo1goo2hli3sdi
ᎡᏥᎪᏩᏛᏗ	e¹ji²gowh²tvh³di	ee1jii2gowh2tvh3di
ᎣᏍᏗᎩᎠ	o²sdi²gị³ɂa	oo2sdii2gi3-a
ᎤᏬᎵᏍᏗ	u¹wo²hlị³sdi	uu1woo2hli3sdi
ᏫᏥᎦ	wị²jị²ga	wi2ji2ga
ᏗᏍᏓᏤᎵᎢ	dị²sdạ²je²li⁴ɂi	di2sdaa2jee2lii4-i
ᏫᏦᎵᎩ	wi¹johl²gi	wii1johl2gi
ᏭᎾᏚᎳ	wu¹nạ²du²³la	wuu1na2duu23la
ᎢᏨᎪᏩᏘᎭ	i¹jv²gowh²tị³ha	ii1jvv2gowh2ti3ha
ᎨᏥᎪᏩᏛᏗ	ge²ji²gowh²tvh³di	gee2jii2gowh2tvh3di
ᏍᎩᎪᏩᏛᏗ	sgị²gowh²tvh³di	sgii2gowh2tvh3di
ᎬᏯᏚᎵᎭ	gv²yạ²du²lị³ha	gvv2ya2duu2li3ha
ᏧᏂᎪᏩᏛᏗ	ju¹ni²gowh²tvh³di	juu1nii2gowh2tvh3di
ᎯᏲᎵᏨᎢ	hi²yo²li²jv²³ɂi	hii2yoo2lii2jvv23-i
ᏚᏬᎵᏨᎢ	du²wohl²jv²³ɂi	duu2wohl2jvv23-i
ᎡᏍᏗᎪᏩᏛᏗ	e¹sdi²gowh²tvh³di	ee1sdii2gowh2tvh3di
ᏕᎦᏚᎸᎲᎢ	de³gạ²du²lv²hv²³ɂi	dee3ga2duu2lvv2hvv23-i
ᏙᎦᏚᎸᎲᎢ	do¹gạ²du²lv²hv²³ɂi	doo1ga2duu2lvv2hvv23-i
ᏥᏯᏚᎵᎭ	ji²yạ²du²lị³ha	jii2ya2duu2li3ha
ᎨᏂᎪᏩᏛᏗ	ge²ni²gowh²tvh³di	gee2nii2gowh2tvh3di
ᎨᏍᏓᏚᎵᎭ	ge²sdạ²du²lị³ha	gee2sda2duu2li3ha
ᏍᏛᏲᎵᏨᎢ	sdv²yohl²jv²³ɂi	sdvv2yohl2jvv23-i
ᎨᏗᎪᏩᏛᏗ	ge²di²gowh²tvh³di	gee2dii2gowh2tvh3di
