ᎤᎭ|ù:ha|u¹ha|He has something solid|uu1ha
ᏬᏍᏙᎵᎩ|wò:sdo:lì:gi|wo¹sdo²li¹gi|Let him and me recognize him|woo1sdoo2lii1gi
ꭿꮿᎧᎭ|hi:ya:káha|hi²ya²kạ³ha|You (1) have something alive|hii2yaa2ka3ha
ꭶꭿꮿᎧᎭ|gahi:ya:káha|gạ²hi²ya²kạ³ha|You (1) have living things|ga2hii2yaa2ka3ha
ᏕꮝꭹꮿᎧᎭ|dé:sgi:ya:káha|de³sgi²ya²kạ³ha|You (1), two, or all have us all; You all have me|dee3sgii2yaa2ka3ha
ᎠᏂᎪᏩᏔ|à:ni:gò:wahtā|a¹ni²go¹wah²ta²|They recently saw him; They recently saw it|aa1nii2goo1wah2ta2
ᎯᏙᏓ|hi:do:da|hi²do²da|You one, his father|hii2doo2da
ᏕᏥᏰᏍᎪᎢ|de:jiyé:sgó:ɂi|de²jị²ye³sgo³ɂi|I am usually eating flexible things|dee2ji2yee3sgoo3-i
ᏓᏍᏗᎩᎠ|dàsdǐ:gíɂa|dạ¹sdi²³gị³ɂa|He is eating rod shaped things|da1sdii23gi3-a
ᏓᏆᏅᏔ|dà:gwanhta|da¹gwạ²nhta|I know things|daa1gwa2nhta
ᏕᎩᎥᏰᏍᏗ|dé:gi:jv̌:yê:sdi|de³gi²jv²³ye³²sdi|All of us will be having rod shaped things|dee3gii2jvv23yee32sdi
ᏙᎩᎥᏰᏍᏗ|dò:gi:jv̌:yê:sdi|do¹gi²jv²³ye³²sdi|They and I will be having rod shaped things|doo1gii2jvv23yee32sdi
ᏕᎯᎭᏗᏔ|de:ha:dǐ:tā|de²ha²di²³ta²|You (1) recently drank drinks|dee2haa2dii23ta2
ᏚᏂᎥᏰᏍᏗ|dù:ni:jv̌:yê:sdi|du¹ni²jv²³ye³²sdi|They will be having rod shaped things|duu1nii2jvv23yee32sdi
ᏕᎩᏂᎥᏰᏍᏗ|de:gini:jv̌:yê:sdi|de²gị²ni²jv²³ye³²sdi|You (1) and I will be having rod shaped things|dee2gi2nii2jvv23yee32sdi
ᎣᏣᏗᎭ|ò:jadiha|o¹jạ²dị²ha|They and I are saying|oo1ja2di2ha
ᏙᎩᏂᎥᏰᏍᏗ|dò:gini:jv̌:yê:sdi|do¹gị²ni²jv²³ye³²sdi|He and I will be having rod shaped things|doo1gi2nii2jvv23yee32sdi
ᎢᎨᏅᏍᏗ|ì:ge:nv̀:sdi|i¹ge²nv¹sdi|For all of us to go|ii1gee2nvv1sdi
ᎣᏍᏓᏗᎭ|ò:sdadiha|o¹sdạ²dị²ha|He and I are saying|oo1sda2di2ha
ᏕᏣᏚᏅᎢ|de:jádu:hnv̌:ɂi|de²jạ³du²hnv²³ɂi|You (1) baked things a while ago|dee2ja3duu2hnvv23-i
ᎨᏍᏓᎦᏙᏍᏓ|ge:sdagà:tǒ:sda|ge²sdạ²ga¹to²³sda|Let you both look at them (animate)|gee2sda2gaa1too23sda
ᎤᏓᏚᎵᏍᎪᎢ|ù:dadu:lǐ:sgóɂi|u¹dạ²du²li²³sgọ³ɂi|He usually is wanting himself|uu1da2duu2lii23sgo3-i
ᏍᏗᎴᎦ|sdí:lè:ga|sdi³le¹ga|You both are climbing it|sdii3lee1ga
ᎠᏂᏍᏗᎦ|à:ni:sdǐ:gā|a¹ni²sdi²³ga²|They recently ate something rod shaped|aa1nii2sdii23ga2
ᏣᏓᏚᎵᏍᎪᎢ|jadadu:lǐ:sgóɂi|jạ²dạ²du²li²³sgọ³ɂi|You (1) usually are wanting yourself|ja2da2duu2lii23sgo3-i
ᎢᏥᎴᎦ|ì:jí:lè:ga|i¹ji³le¹ga|You all are climbing it|ii1jii3lee1ga
ᎤᏩᏌ|uwǎ:sa|ụ²wa²³sa|Himself|uu2waa23sa
ᏕᏥᏁᎲᎢ|dé:ji:ne:hv̌:ɂi|de³ji²ne²hv²³ɂi|You all had liquid things a while ago|dee3jii2nee2hvv23-i
ᎠᏆᏓᏚᎵᏍᎪᎢ|à:gwadadu:lǐ:sgóɂi|a¹gwạ²dạ²du²li²³sgọ³ɂi|I am usually wanting myself|aa1gwaa2da2duu2lii23sgo3-i
ᏕᏍᏗᏁᎲᎢ|de:sdi:ne:hv̌:ɂi|de²sdi²ne²hv²³ɂi|You both had liquid things a while ago|dee2sdii2nee2hvv23-i
ᎣᎩᏰᏍᏗ|ò:gi:hyè:sdi|o¹gi²hye¹sdi|For them and me to eat something flexible|oo1gii2hyee1sdi
ᏥᏯᎦᏙᏍᏓ|ji:yagà:tǒ:sdā|ji²yạ²ga¹to²³sda²|I recently looked at him|jii2ya2gaa1too23sda2
ᎣᎩᏂᏰᏍᏗ|ò:gini:hyè:sdi|o¹gị²ni²hye¹sdi|For him and me to eat something flexible|oo1gi2nii2hyee1sdi
ᎦᏥᏯᎦᏙᏍᏓ|gaji:yagà:tǒ:sdā|gạ²ji²yạ²ga¹to²³sda²|I recently looked at them (animate)|ga2jii2ya2gaa1too23sda2
ᏕᎩᎧᎲᎢ|dè:gi:kahv̌:ɂi|de¹gi²kạ²hv²³ɂi|Someone had you all and me, we a while ago|dee1gii2ka2hvv23-i
ᏕᏂᎧᎲᎢ|dè:ni:kahv̌:ɂi|de¹ni²kạ²hv²³ɂi|You (1) and I had something alive a while ago|dee1nii2ka2hvv23-i
ᏕᏗᎧᎲᎢ|dè:di:kahv̌:ɂi|de¹di²kạ²hv²³ɂi|All of us had something alive a while ago|dee1dii2ka2hvv23-i
ᏕᏥᎧᎲᎢ|dè:ji:kahv̌:ɂi|de¹ji²kạ²hv²³ɂi|You all had something alive a while ago; Someone had you all a while ago|dee1jii2ka2hvv23-i
ᎡᏣᎦᏙᏍᏓ|è:jaktǒ:sdā|e¹jạ²kto²³sda²|You (1) were recently looked at|ee1ja2ktoo23sda2
ᏕᏍᏗᎧᎲᎢ|dè:sdi:kahv̌:ɂi|de¹sdi²kạ²hv²³ɂi|You both had something alive a while ago; Someone had you both a while ago|dee1sdii2ka2hvv23-i
ᎯᎪᏩᏘᎭ|hi:gowhtíha|hi²gowh²tị³ha|You (1) are seeing him|hii2gowh2ti3ha
ᏕᎨᎩᎧᎰᎢ|de:ge:gi:kahó:ɂi|de²ge²gi²kạ²ho³ɂi|They usually have all of us|dee2gee2gii2ka2hoo3-i
ᎢᏨᎪᏩᏘᎭ|ì:jv:gowhtíha|i¹jv²gowh²tị³ha|I, we two, or we all are seeing you all; We all are seeing you (1), two|ii1jvv2gowh2ti3ha
ᏕᎪᎩᎧᎰᎢ|de:go:gi:kahó:ɂi|de²go²gi²kạ²ho³ɂi|They usually have them and me|dee2goo2gii2ka2hoo3-i
ᎢᏍᎩᎪᏩᏘᎭ|ì:sgi:gowhtíha|i¹sgi²gowh²tị³ha|You (1), two, or all are seeing us all; You all are seeing me|ii1sgii2gowh2ti3ha
ᏕᎨᎩᏂᎧᎰᎢ|de:ge:gini:kahó:ɂi|de²ge²gị²ni²kạ²ho³ɂi|They usually have you (1) and me|dee2gee2gi2nii2ka2hoo3-i
ᎦᎯᎪᏩᏘᎭ|gahi:gowhtíha|gạ²hi²gowh²tị³ha|You (1) are seeing them (animate)|ga2hii2gowh2ti3ha
ᏍᏛᏯᏚᎸᎲᎢ|sdv:yadu:lv:hv̌:ɂi|sdv²yạ²du²lv²hv²³ɂi|I wanted you both a while ago; We two wanted you (1) or you both a while ago|sdvv2ya2duu2lvv2hvv23-i
ᏕᎪᎩᏂᎧᎰᎢ|de:go:gini:kahó:ɂi|de²go²gị²ni²kạ²ho³ɂi|They usually have him and me|dee2goo2gi2nii2ka2hoo3-i
ᎠᎦᏚᎵᎭ|à:gadu:líha|a¹gạ²du²lị³ha|He is wanted|aa1ga2duu2li3ha
ᎢᏣᏓᏙᎵᏨᎢ|ì:jada:dohljv̌:ɂi|i¹jạ²da²dohl²jv²³ɂi|You all recognized yourselves a while ago|ii1ja2daa2dohl2jvv23-i
ᎰᎵᎦ|hohlga|hohl²ga|You (1) understand it|hohl2ga
ᏦᎵᏍᏗ|jo:hlísdi|jo²hlị³sdi|For you (1) to understand it; For him to recognize you (1)|joo2hli3sdi
ᏗᏍᏗᎪᏩᏛᏗ|disdi:gowhtv́hdi|dị²sdi²gowh²tvh³di|For you both to see them (inanimate)|di2sdii2gowh2tvh3di
ᎢᏂᎪᏩᏔ|ì:ni:gò:wahta|i¹ni²go¹wah²ta|Let you (1) and me see it|ii1nii2goo1wah2ta
ᎢᏗᎪᏩᏔ|ì:di:gò:wahta|i¹di²go¹wah²ta|Let all of us see it|ii1dii2goo1wah2ta
ᎩᏂᎪᎲᎢ|gini:go:hv̌:ɂi|gị²ni²go²hv²³ɂi|He saw you (1) and me a while ago; You (1) and I saw it a while ago|gi2nii2goo2hvv23-i
ᎯᎠ|hiɂa|hị²ɂa|This, These; They, Them; He, Him|hi2-a
ᏕᎩᎾᎣᎢ|dé:gi:náó:ɂi|de³gi²nạ³o³ɂi|All of us usually have flexible things|dee3gii2na3oo3-i
ᏓᏂᏍᏗᎩᎠ|dà:nì:sdǐ:gíɂa|da¹ni¹sdi²³gị³ɂa|They are eating rod shaped things|daa1nii1sdii23gi3-a
ᏕᎭᏗᏔᏍᎪᎢ|de:hà:di:tasgó:ɂi|de²ha¹di²tạ²sgo³ɂi|You (1) usually are drinking drinks|dee2haa1dii2ta2sgoo3-i
ᏙᎩᎾᎣᎢ|dò:gi:náó:ɂi|do¹gi²nạ³o³ɂi|They and I usually have flexible things|doo1gii2na3oo3-i
ᏕᏂᏍᏗᎩᎠ|dé:nì:sdǐ:gíɂa|de³ni¹sdi²³gị³ɂa|You (1) and I are eating rod shaped things|dee3nii1sdii23gi3-a
ᏚᏂᎾᎣᎢ|dù:ni:náó:ɂi|du¹ni²nạ³o³ɂi|They usually have flexible things|duu1nii2na3oo3-i
ᏕᏗᏍᏗᎩᎠ|dé:dì:sdǐ:gíɂa|de³di¹sdi²³gị³ɂa|All of us are eating rod shaped things|dee3dii1sdii23gi3-a
ᏕᎩᏂᎾᎣᎢ|de:gini:náó:ɂi|de²gị²ni²nạ³o³ɂi|You (1) and I usually have flexible things|dee2gi2nii2na3oo3-i
ᏙᏥᏍᏗᎩᎠ|dò:jì:sdǐ:gíɂa|do¹ji¹sdi²³gị³ɂa|They and I are eating rod shaped things|doo1jii1sdii23gi3-a
ᏙᎩᏂᎾᎣᎢ|dò:gini:náó:ɂi|do¹gị²ni²nạ³o³ɂi|He and I usually have flexible things|doo1gi2nii2na3oo3-i
ᏙᏍᏗᏍᏗᎩᎠ|dò:sdì:sdǐ:gíɂa|do¹sdi¹sdi²³gị³ɂa|He and I are eating rod shaped things|doo1sdii1sdii23gi3-a
ᏍᏗᎷᎦ|sdi:lù:ga|sdi²lu¹ga|Let you both climb it|sdii2luu1ga
ᏕᎦᏰᏍᎪᎢ|de:gahyé:sgó:ɂi|de²gạ²hye³sgo³ɂi|He usually is eating flexible things|dee2ga2hyee3sgoo3-i
ᏕᏥᏟᏏᎭ|de:jíhli:síha|de²jị³hli²sị³ha|I am gathering things|dee2ji3hlii2si3ha
ᎢᏥᎷᎦ|ì:ji:lù:ga|i¹ji²lu¹ga|Let you all climb it|ii1jii2luu1ga
ᎡᎦᎦᏙᏍᏓ|è:gagà:tǒ:sda|e¹gạ²ga¹to²³sda|Let all of us be looked at|ee1ga2gaa1too23sda
ᎤᏓᎦᏙᏍᏔᏅᎢ|ù:dà:ktǒ:stánv̌:ɂi|u¹da¹kto²³stạ³nv²³ɂi|He looked at himself a while ago|uu1daa1ktoo23sta3nvv23-i
ᎡᎾᎦᏙᏍᏓ|è:nagà:tǒ:sda|e¹nạ²ga¹to²³sda|Let you (1) and me look at him|ee1na2gaa1too23sda
ᏣᏓᎦᏙᏍᏔᏅᎢ|jadà:ktǒ:stánv̌:ɂi|jạ²da¹kto²³stạ³nv²³ɂi|You (1) looked at yourself a while ago|ja2daa1ktoo23sta3nvv23-i
ᏕᏥᏁᎭ|dé:ji:néha|de³ji²nẹ³ha|You all have liquid things|dee3jii2ne3ha
ᎠᏍᏗᎦ|asdǐ:gā|ạ²sdi²³ga²|He recently ate something rod shaped|a2sdii23ga2
ᎡᏣᎧᎮᏍᏗ|è:jakahé:sdi|e¹jạ²kạ²he³sdi|Someone will have you (1)|ee1ja2ka2hee3sdi
ᏗᏍᏗᏍᏗᎩᏍᏗ|disdi:sdǐ:gî:sdi|dị²sdi²sdi²³gi³²sdi|For you both to eat rod shaped things|di2sdii2sdii23gii32sdi
ᎡᏓᎦᏙᏍᏓ|è:dagà:tǒ:sda|e¹dạ²ga¹to²³sda|Let all of us look at him|ee1da2gaa1too23sda
ᎠᏆᏓᎦᏙᏍᏔᏅᎢ|à:gwadà:ktǒ:stánv̌:ɂi|a¹gwạ²da¹kto²³stạ³nv²³ɂi|I looked at myself a while ago|aa1gwaa2daa1ktoo23sta3nvv23-i
ᏥᏍᏗᎦ|jisdǐ:gā|jị²sdi²³ga²|I recently ate something rod shaped|ji2sdii23ga2
ᎡᏣᎦᏙᏍᏓ|è:jagà:tǒ:sda|e¹jạ²ga¹to²³sda|Let you all look at him; Let you all be looked at|ee1ja2gaa1too23sda
ᎯᏯᎦᏙᏍᏓ|hi:yagà:tǒ:sda|hi²yạ²ga¹to²³sda|Let you (1) look at him|hii2ya2gaa1too23sda
ᎡᏍᏓᎦᏙᏍᏓ|è:sdagà:tǒ:sda|e¹sdạ²ga¹to²³sda|Let you both look at him; Let you both be looked at|ee1sda2gaa1too23sda
ᎡᎩᎾᎦᏙᏍᏓ|è:ginagà:tǒ:sda|e¹gị²nạ²ga¹to²³sda|Let you (1) and me be looked at|ee1gi2na2gaa1too23sda
ᏣᏰᏍᏗ|jahyè:sdi|jạ²hye¹sdi|For you (1) to eat something flexible|ja2hyee1sdi
ᎢᏍᎩᏯᎦᏙᏍᏓ|ì:sgi:yagà:tǒ:sda|i¹sgi²yạ²ga¹to²³sda|Let you (1), two, or all look at us all; Let you all look at me|ii1sgii2ya2gaa1too23sda
ᎨᏍᏓᎦᏙᏍᏓ|ge:sdagà:tǒ:sdā|ge²sdạ²ga¹to²³sda²|You both recently looked at them (animate); They recently looked at you both|gee2sda2gaa1too23sda2
ᎦᎯᏯᎦᏙᏍᏓ|gahi:yagà:tǒ:sda|gạ²hi²yạ²ga¹to²³sda|Let you (1) look at them (animate)|ga2hii2ya2gaa1too23sda
ᎢᏨᏯᎦᏙᏍᏓ|ì:jv:yagà:tǒ:sdā|i¹jv²yạ²ga¹to²³sda²|I, we two, or we all recently looked at you all; We all recently looked at you (1), two|ii1jvv2ya2gaa1too23sda2
ᏕᎪᎩᏂᎧᎲᎢ|de:go:gini:kahv̌:ɂi|de²go²gị²ni²kạ²hv²³ɂi|They had him and me a while ago|dee2goo2gi2nii2ka2hvv23-i
ᏓᏉᎵᏨᎢ|dà:gwohljv̌:ɂi|da¹gwohl²jv²³ɂi|I understood things a while ago|daa1gwohl2jvv23-i
ᏕᏦᎵᏨᎢ|de:johljv̌:ɂi|de²johl²jv²³ɂi|You (1) understood things a while ago|dee2johl2jvv23-i
ᎬᏯᏚᎵᎭ|gv:yadu:líha|gv²yạ²du²lị³ha|I am wanting you (1)|gvv2ya2duu2li3ha
ᏥᏯᏚᎵᎭ|ji:yadu:líha|ji²yạ²du²lị³ha|I am wanting him|jii2ya2duu2li3ha
ᎦᏥᏯᏚᎵᎭ|gaji:yadu:líha|gạ²ji²yạ²du²lị³ha|I am wanting them (animate)|ga2jii2ya2duu2li3ha
ᎠᏉᎵᎦ|à:gwohlga|a¹gwohl²ga|He recognizes me|aa1gwohl2ga
ᎣᎩᎪᎲᎢ|ò:gi:go:hv̌:ɂi|o¹gi²go²hv²³ɂi|He saw them and me a while ago; They and I saw it a while ago; They and I were seen a while ago|oo1gii2goo2hvv23-i
ᎤᏂᎪᎲᎢ|ù:ni:go:hv̌:ɂi|u¹ni²go²hv²³ɂi|They saw him a while ago; They saw it a while ago|uu1nii2goo2hvv23-i
ᎣᎩᏂᎪᎲᎢ|ò:gini:go:hv̌:ɂi|o¹gị²ni²go²hv²³ɂi|He saw him and me a while ago; He and I saw it a while ago; He and I were seen a while ago|oo1gi2nii2goo2hvv23-i
ᏂᎯ|nihi|nị²hi|You one; You two; You all|ni2hi
ᏣᏲᏏᏌ|jayò:sǐ:sa|jạ²yo¹si²³sa|Let you (1) be hungry|ja2yoo1sii23sa
ᏚᏍᏗᎬᎢ|dù:sdí:gv̌:ɂi|du¹sdi³gv²³ɂi|He ate rod shaped things a while ago|duu1sdii3gvv23-i
ᏥᏯᎦ|jiyagā|jị²yạ²ga²|I recently ate something flexible|ji2ya2ga2
ᏕᎦᏗᏔᏍᎪᎢ|de:gà:di:tasgó:ɂi|de²ga¹di²tạ²sgo³ɂi|I am usually drinking drinks|dee2gaa1dii2ta2sgoo3-i
ᏓᏂᎭᏗᏔ|dà:na:dǐ:tā|da¹na²di²³ta²|They recently drank drinks|daa1naa2dii23ta2
ᏕᎩᏂᎾᎥᎢ|de:gini:náv̌:ɂi|de²gị²ni²nạ³v²³ɂi|You (1) and I had flexible things a while ago|dee2gi2nii2na3vv23-i
ᏕᏂᎭᏗᏔ|dé:na:dǐ:tā|de³na²di²³ta²|You (1) and I recently drank drinks|dee3naa2dii23ta2
ᏙᎩᏂᎾᎥᎢ|dò:gini:náv̌:ɂi|do¹gị²ni²nạ³v²³ɂi|He and I had flexible things a while ago|doo1gi2nii2na3vv23-i
ᏕᏗᎭᏗᏔ|dé:da:dǐ:tā|de³da²di²³ta²|All of us recently drank drinks|dee3daa2dii23ta2
ᏙᏥᎭᏗᏔ|dò:ja:dǐ:tā|do¹ja²di²³ta²|They and I recently drank drinks|doo1jaa2dii23ta2
ᏕᎦᏟᏏᎭ|de:gáhli:síha|de²gạ³hli²sị³ha|He is gathering things|dee2ga3hlii2si3ha
ᏙᏍᏗᎭᏗᏔ|dò:sda:dǐ:tā|do¹sda²di²³ta²|He and I recently drank drinks|doo1sdaa2dii23ta2
ᎤᏩᏌ|uwa̋:sa|ụ²wa⁴sa|He alone|uu2waa4sa
ᏗᏍᏗᎭᏗᏔ|disda:dǐ:ta|dị²sda²di²³ta|Let you both drink drinks|di2sdaa2dii23ta
ᎢᏂᏍᏗᎦ|ì:ni:sdǐ:ga|i¹ni²sdi²³ga|Let you (1) and me eat something rod shaped|ii1nii2sdii23ga
ᎤᏂᎮᏍᏗ|ù:ni:hé:sdi|u¹ni²he³sdi|They will be having something solid|uu1nii2hee3sdi
ᎢᏗᏍᏗᎦ|ì:di:sdǐ:ga|i¹di²sdi²³ga|Let all of us eat something rod shaped|ii1dii2sdii23ga
ᏕᏥᏍᏗᎦ|dé:ji:sdǐ:gā|de³ji²sdi²³ga²|You all recently ate rod shaped things|dee3jii2sdii23ga2
ᎩᏂᎮᏍᏗ|gini:hé:sdi|gị²ni²he³sdi|You (1) and I will be having something solid|gi2nii2hee3sdi
ᏕᏍᏗᏍᏗᎦ|de:sdi:sdǐ:gā|de²sdi²sdi²³ga²|You both recently ate rod shaped things|dee2sdii2sdii23ga2
ᏣᎪᏩᏘᏍᎪᎢ|jagowhtǐ:sgóɂi|jạ²gowh²ti²³sgọ³ɂi|He is often seeing you (1)|ja2gowh2tii23sgo3-i
ᏕᎨᏥᎧᎰᎢ|de:gé:ji:kahó:ɂi|de²ge³ji²kạ²ho³ɂi|They usually have you all|dee2gee3jii2ka2hoo3-i
ᏕᎪᏥᎧᎰᎢ|de:go:ji:kahó:ɂi|de²go²ji²kạ²ho³ɂi|They and I usually have living things|dee2goo2jii2ka2hoo3-i
ᏕᎪᏍᏗᎧᎰᎢ|de:go:sdi:kahó:ɂi|de²go²sdi²kạ²ho³ɂi|He and I usually have living things|dee2goo2sdii2ka2hoo3-i
ᎰᎵᎩ|hohlgi|hohl²gi|Let you (1) understand it|hohl2gi
ᎬᏯᏚᎸᎲᎢ|gv:yadu:lv:hv̌:ɂi|gv²yạ²du²lv²hv²³ɂi|I wanted you (1) a while ago|gvv2ya2duu2lvv2hvv23-i
ᏥᏯᏚᎸᎲᎢ|ji:yadu:lv:hv̌:ɂi|ji²yạ²du²lv²hv²³ɂi|I wanted him a while ago|jii2ya2duu2lvv2hvv23-i
ᎦᏥᏯᏚᎸᎲᎢ|gaji:yadu:lv:hv̌:ɂi|gạ²ji²yạ²du²lv²hv²³ɂi|I wanted them (animate) a while ago|ga2jii2ya2duu2lvv2hvv23-i
ᎠᏉᎵᎦ|à:gwohlgā|a¹gwohl²ga²|He recently recognized me|aa1gwohl2ga2
ᎢᏨᏯᏚᎵᎭ|ì:jv:yadu:líha|i¹jv²yạ²du²lị³ha|I, we two, or we all are wanting you all; We all are wanting you (1), two|ii1jvv2ya2duu2li3ha
ᎢᎩᎪᎲᎢ|ì:gi:go:hv̌:ɂi|i¹gi²go²hv²³ɂi|He saw all of us a while ago; All of us saw it a while ago|ii1gii2goo2hvv23-i
ᎣᎩᎪᏩᏔ|ò:gi:gò:wahtā|o¹gi²go¹wah²ta²|He recently saw them and me; They and I were recently seen|oo1gii2goo1wah2ta2
ᏍᏗᏥ|sdi:ji|sdi²ji|Your two's mother|sdii2ji
ᎠᏂᎴᎪᎢ|à:ní:lè:gó:ɂi|a¹ni³le¹go³ɂi|They usually are climbing it|aa1nii3lee1goo3-i
ᏕᎦᏚᎩᏍᎪᎢ|de:gaɂdǔ:gî:sgó:ɂi|de²gạɂ²du²³gi³²sgo³ɂi|I am usually drinking alcoholic drinks|dee2ga-2duu23gii32sgoo3-i
ᏣᏲᏏᏌ|jayò:sǐ:sā|jạ²yo¹si²³sa²|You (1) were recently hungry|ja2yoo1sii23sa2
ᎤᏂᎸᏒᎢ|ù:ni:lv̂:sv̌:ɂi|u¹ni²lv³²sv²³ɂi|They climbed it a while ago|uu1nii2lvv32svv23-i
ᏚᏅᏔ|du:nhta|du²nhta|He knows things|duu2nhta
ᎩᏂᎸᏒᎢ|gini:lv̂:sv̌:ɂi|gị²ni²lv³²sv²³ɂi|You (1) and I climbed it a while ago|gi2nii2lvv32svv23-i
ᏕᎩᏂᏁᎮᏍᏗ|de:gini:ne:hé:sdi|de²gị²ni²ne²he³sdi|You (1) and I will be having liquid things|dee2gi2nii2nee2hee3sdi
ᏙᎩᏂᏁᎮᏍᏗ|dò:gini:ne:hé:sdi|do¹gị²ni²ne²he³sdi|He and I will be having liquid things|doo1gi2nii2nee2hee3sdi
ᎣᏤᎪᎢ|ò:jé:góɂi|o¹je³gọ³ɂi|They and I usually are going|oo1jee3go3-i
ᏓᎩᎾᎣᎢ|dà:gináó:ɂi|da¹gị²nạ³o³ɂi|I usually have flexible things|daa1gi2na3oo3-i
ᏕᎦᏚᎩᎠ|de:gàtǔ:gía|de²gạ¹tu²³gị³a|He is drinking alcoholic drinks|dee2ga1tuu23gi3a
ᎣᏍᏕᎪᎢ|ò:sdé:góɂi|o¹sde³gọ³ɂi|He and I usually are going|oo1sdee3go3-i
ᏕᏣᎾᎣᎢ|de:janáó:ɂi|de²jạ²nạ³o³ɂi|You (1) usually have flexible things|dee2ja2na3oo3-i
ᏕᏥᏯᎥᎢ|dé:ji:hyá:ɂv̌:ɂi|de³ji²hya³ɂv²³ɂi|You all ate flexible things a while ago|dee3jii2hyaa3-vv23-i
ᏕᏍᏗᏯᎥᎢ|de:sdi:hyá:ɂv̌:ɂi|de²sdi²hya³ɂv²³ɂi|You both ate flexible things a while ago|dee2sdii2hyaa3-vv23-i
ᏗᏍᏚᏗᏔᏍᏗ|disda:di:tasdi|dị²sda²di²tạ²sdi|For you both to drink drinks|di2sdaa2dii2ta2sdi
ᎣᎩᎮᏍᏗ|ò:gi:hé:sdi|o¹gi²he³sdi|They and I will be having something solid|oo1gii2hee3sdi
ᎣᎩᏂᎮᏍᏗ|ò:gini:hé:sdi|o¹gị²ni²he³sdi|He and I will be having something solid|oo1gi2nii2hee3sdi
ᏕᏍᏓᏓᎧᎰᎢ|de:sdada:kahó:ɂi|de²sdạ²da²kạ²ho³ɂi|You both usually have each other|dee2sdaa2daa2ka2hoo3-i
ᎢᏨᏯᏚᎸᎲᎢ|ì:jv:yadu:lv:hv̌:ɂi|i¹jv²yạ²du²lv²hv²³ɂi|I, we two, or we all wanted you all a while ago; We all wanted you (1), two a while ago|ii1jvv2ya2duu2lvv2hvv23-i
ᎯᏯᏚᎵᎭ|hi:yadu:líha|hi²yạ²du²lị³ha|You (1) are wanting him|hii2ya2duu2li3ha
ᎢᏍᎩᏯᏚᎵᎭ|ì:sgi:yadu:líha|i¹sgi²yạ²du²lị³ha|You (1), two, or all are wanting us all; You all are wanting me|ii1sgii2ya2duu2li3ha
ᎦᎯᏯᏚᎵᎭ|gahi:yadu:líha|gạ²hi²yạ²du²lị³ha|You (1) are wanting them (animate)|ga2hii2ya2duu2li3ha
ᎯᎪᏩᏔ|higò:wahta|hị²go¹wah²ta|Let you (1) see it|hi2goo1wah2ta
ᎢᎩᎪᏩᏔ|ì:gi:gò:wahtā|i¹gi²go¹wah²ta²|He recently saw all of us|ii1gii2goo1wah2ta2
ᏍᏛᏥ|sdv:ji|sdv²ji|I, your two's mother|sdvv2ji
ᎤᏂᎸᏍᏗ|ù:ni:lv̀:sdi|u¹ni²lv¹sdi|For them to climb it|uu1nii2lvv1sdi
ᎦᎴᎪᎢ|gálè:gó:ɂi|gạ³le¹go³ɂi|He usually is climbing it|ga3lee1goo3-i
ᏕᎩᏍᏗᎬᎢ|dé:gì:sdí:gv̌:ɂi|de³gi¹sdi³gv²³ɂi|All of us ate rod shaped things a while ago|dee3gii1sdii3gvv23-i
ᎩᏂᎸᏍᏗ|gini:lv̀:sdi|gị²ni²lv¹sdi|For you (1) and me to climb it|gi2nii2lvv1sdi
ᏥᎴᎪᎢ|jílè:gó:ɂi|jị³le¹go³ɂi|I am usually climbing it|ji3lee1goo3-i
ᏙᎩᏍᏗᎬᎢ|dò:gì:sdí:gv̌:ɂi|do¹gi¹sdi³gv²³ɂi|They and I ate rod shaped things a while ago|doo1gii1sdii3gvv23-i
ᎣᎩᎸᏒᎢ|ò:gi:lv̂:sv̌:ɂi|o¹gi²lv³²sv²³ɂi|They and I climbed it a while ago|oo1gii2lvv32svv23-i
ᏚᏂᏍᏗᎬᎢ|dù:nì:sdí:gv̌:ɂi|du¹ni¹sdi³gv²³ɂi|They ate rod shaped things a while ago|duu1nii1sdii3gvv23-i
ᎣᎩᏂᎸᏒᎢ|ò:gini:lv̂:sv̌:ɂi|o¹gị²ni²lv³²sv²³ɂi|He and I climbed it a while ago|oo1gi2nii2lvv32svv23-i
ᏕᎩᏂᏍᏗᎬᎢ|de:ginì:sdí:gv̌:ɂi|de²gị²ni¹sdi³gv²³ɂi|You (1) and I ate rod shaped things a while ago|dee2gi2nii1sdii3gvv23-i
ᏙᎩᏂᏍᏗᎬᎢ|dò:ginì:sdí:gv̌:ɂi|do¹gị²ni¹sdi³gv²³ɂi|He and I ate rod shaped things a while ago|doo1gi2nii1sdii3gvv23-i
ᏕᏥᏚᎲᏍᎦ|de:jídu:hv́sga|de²jị³du²hṿ³sga|I am baking things|dee2ji3duu2hv3sga
ᎢᎩᎮᏍᏗ|ì:gi:hé:sdi|i¹gi²he³sdi|All of us will be having something solid|ii1gii2hee3sdi
ᏓᎪᏩᏘᎭ|dagowhtíha|dạ²gowh²tị³ha|He is seeing them|da2gowh2ti3ha
ᏗᏍᏓᎦᏙᏍᏓ|disdaktǒ:sda|dị²sdạ²kto²³sda|Let you both look at them (inanimate)|di2sda2ktoo23sda
ᎡᏣᎪᏩᏘᎭ|è:jagowhtíha|e¹jạ²gowh²tị³ha|You (1) are being seen|ee1ja2gowh2ti3ha
