ᎠᏓᎪᏩᏔ	a¹da²go¹wah²ta²	aa1daa2goo1wah2ta2
ᏗᏣᎩᏍᏗ	dị²jạ²gi¹sdi	di2ja2gii1sdi
ᎡᏂᎪᏩᏔ	e¹ni²go¹wah²ta²	ee1nii2goo1wah2ta2
ᎤᎾᏚᎵᎭ	u¹nạ²du²lị³ha	uu1na2duu2li3ha
ᏦᎦᏤᎵᎢ	jo¹gạ²je²li⁴ɂi	joo1gaa2jee2lii4-i
ᎡᏗᎪᏩᏔ	e¹di²go¹wah²ta²	ee1dii2goo1wah2ta2
ᎣᎪᎵᎦ	o¹gohl²ga²	oo1gohl2ga2
ᎡᏥᎪᏩᏔ	e¹ji²go¹wah²ta²	ee1jii2goo1wah2ta2
ᎨᎪᎵᏨᎢ	ge²gohl²jv²³ɂi	gee2gohl2jvv23-i
ᏦᎩᎾᏤᎵᎢ	jo¹gị²nạ²je²li⁴ɂi	joo1gi2naa2jee2lii4-i
ᎥᏉᎵᎪᎢ	v¹gwohl²go³ɂi	vv1gwohl2goo3-i
ᎪᎪᎵᏨᎢ	go²gohl²jv²³ɂi	goo2gohl2jvv23-i
ᎦᎯᎪᏩᏛᏗ	gạ²hi²gowh²tvh³di	ga2hii2gowh2tvh3di
ᎪᏦᎵᏨᎢ	go²johl²jv²³ɂi	goo2johl2jvv23-i
ᎬᏉᎵᏨᎢ	gv²gwohl²jv²³ɂi	gvv2gwohl2jvv23-i
ᎩᏃᎵᎦ	gị²nohl²ga	gi2nohl2ga
ᏍᏆᏚᎸᏗ	sgwạ²duhl²di	sgwa2duhl2di
ᏗᎦᏚᎸᏗ	dị²gạ²duhl²di	di2ga2duhl2di
ᎨᏂᎪᏩᏔ	ge²ni²go¹wah²ta²	gee2nii2goo1wah2ta2
ᎬᏲᎵᎪᎢ	gv²yo²li²go³ɂi	gvv2yoo2lii2goo3-i
ᏗᏆᏚᎸᏗ	dị¹gwạ²duhl²di	di1gwa2duhl2di
ᎨᏗᎪᏩᏔ	ge²di²go¹wah²ta²	gee2dii2goo1wah2ta2
ᎨᏥᎪᏩᏔ	ge²ji²go¹wah²ta²	gee2jii2goo1wah2ta2
ᏧᎾᏚᎸᏗ	ju¹nạ²duhl²di	juu1na2duhl2di
ᏥᏲᎵᎪᎢ	ji²yo²li²go³ɂi	jii2yoo2lii2goo3-i
ᏕᏥᎪᎲᎢ	de³ji²go²hv²³ɂi	dee3jii2goo2hvv23-i
ᎨᎩᏃᎵᏨᎢ	ge²gị²nohl²jv²³ɂi	gee2gi2nohl2jvv23-i
ᎣᎩᏃᎵᎦ	o¹gị²nohl²ga²	oo1gi2nohl2ga2
ᏓᏂᎪᏩᏘᎭ	da¹ni²gowh²tị³ha	daa1nii2gowh2ti3ha
ᎪᎩᏃᎵᏨᎢ	go²gị²nohl²jv²³ɂi	goo2gi2nohl2jvv23-i
ᎪᏍᏙᎵᏨᎢ	go²sdohl²jv²³ɂi	goo2sdohl2jvv23-i
ᏗᏣᏙᎵᏍᏗ	dị²jạ²da²do²hlị³sdi	di2ja2daa2doo2hli3sdi
ᎦᏥᏲᎵᎪᎢ	gạ²ji²yohl²go³ɂi	ga2jii2yohl2goo3-i
ᎢᏍᎩᎪᏩᏛᏗ	i¹sgi²gowh²tvh³di	ii1sgii2gowh2tvh3di
ᏫᏗᎪᎵᎩ	wị²dị²gohl²gi	wi2di2gohl2gi
ᎡᎩᏂᎪᏩᏔ	e¹gị²ni²go¹wah²ta²	ee1gi2nii2goo1wah2ta2
ᏫᏨᏲᎵᎩ	wi¹jv²yo²li¹gi	wii1jvv2yoo2lii1gi
ᎡᏍᏗᎪᏩᏔ	e¹sdi²go¹wah²ta²	ee1sdii2goo1wah2ta2
ᏍᎩᎾᏚᎸᏗ	sgị²nạ²duhl²di	sgi2na2duhl2di
ᎢᏣᏓᎪᏩᏘᎭ	i¹jạ²da²gowh²tị³ha	ii1ja2daa2gowh2ti3ha
ᏍᏛᏯᏚᎵᎭ	sdv²yạ²du²lị³ha	sdvv2ya2duu2li3ha
ᏗᎩᎾᏚᎸᏗ	dị²gị²nạ²duhl²di	di2gi2na2duhl2di
ᏗᏍᏓᏙᎵᏍᏗ	dị²sdạ²da²do²hlị³sdi	di2sdaa2daa2doo2hli3sdi
ᏕᏍᏓᏚᎵᎭ	de²sdạ²du²lị³ha	dee2sda2duu2li3ha
ᎨᏍᏗᎪᏩᏔ	ge²sdi²go¹wah²ta²	gee2sdii2goo1wah2ta2
ᏍᏓᏓᎪᏩᏘᎭ	sdạ²da²gowh²tị³ha	sdaa2daa2gowh2ti3ha
ᎦᎴᎦ	gạɂ³le¹ga	ga-3lee1ga
ᎤᎪᎲᎢ	u¹go²hv²³ɂi	uu1goo2hvv23-i
ᎯᎴᎦ	hịɂ³le¹ga	hi-3lee1ga
ᏥᎷᎦ	jịɂ²lu¹ga²	ji-2luu1ga2
ᏧᏤᎵᎢ	jụ²je²li⁴ɂi	juu2jee2lii4-i
ᏦᎵᎦ	johl²ga²	johl2ga2
ᎠᏂᎴᎦ	a¹niɂ³le¹ga	aa1ni-3lee1ga
ᎢᏂᎴᎦ	i¹niɂ³le¹ga	ii1ni-3lee1ga
ᎢᏗᎴᎦ	i¹diɂ³le¹ga	ii1di-3lee1ga
ᎢᏣᏗᎭ	i¹jạ²dị²ha	ii1ja2di2ha
ᎠᏥᎪᎲᎢ	a¹jị²go²hv²³ɂi	aa1ji2goo2hvv23-i
ᎡᎪᎵᎪᎢ	e¹go²li²go³ɂi	ee1goo2lii2goo3-i
ᎣᏥᎩᎠ	o¹ji²gị³ɂa	oo1jii2gi3-a
ᏍᏓᏗᎭ	sdạ²dị²ha	sda2di2ha
ᎡᏃᎵᎪᎢ	e¹no²li²go³ɂi	ee1noo2lii2goo3-i
ᎡᏙᎵᎪᎢ	e¹do²li²go³ɂi	ee1doo2lii2goo3-i
ᎡᏦᎵᎪᎢ	e¹jo²li²go³ɂi	ee1joo2lii2goo3-i
ᏗᎦᏤᎵᎢ	dị²gạ²je²li⁴ɂi	di2gaa2jee2lii4-i
ᏗᏆᏤᎵᎢ	dị¹gwạ²je²li⁴ɂi	di1gwaa2jee2lii4-i
ᎢᎪᎵᎦ	i¹gohl²ga²	ii1gohl2ga2
ᎤᎾᏚᎸᏗ	u¹nạ²duhl²di	uu1na2duhl2di
ᎥᏉᎵᏍᏗ	v¹gwo²hlị³sdi	vv1gwoo2hli3sdi
ᏦᎩᎩᏍᏗ	jo¹gi²gi¹sdi	joo1gii2gii1sdi
ᏧᎾᏤᎵᎢ	ju¹nạ²je²li⁴ɂi	juu1naa2jee2lii4-i
ᎡᏣᎪᏩᏘᏍᎪᎢ	e¹jạ²gowh²ti²³sgọ³ɂi	ee1ja2gowh2tii23sgo3-i
ᏗᎩᎾᏤᎵᎢ	dị²gị²nạ²je²li⁴ɂi	di2gi2naa2jee2lii4-i
ᎣᏍᏗᎩᎠ	o²sdi²gị³ɂa	oo2sdii2gi3-a
ᏩᏆᏚᎳ	wa¹gwạ²du²³la	waa1gwa2duu23la
ᏦᎩᏂᎩᏍᏗ	jo¹gị²ni²gi¹sdi	joo1gi2nii2gii1sdi
ᎨᏃᎵᎪᎢ	ge²nohl²go³ɂi	gee2nohl2goo3-i
ᎬᏲᎵᏍᏗ	gv²yo²li³sdi	gvv2yoo2lii3sdi
ᎨᏙᎵᎪᎢ	ge²do²li²go³ɂi	gee2doo2lii2goo3-i
ᏬᎦᏚᎳ	wo¹gạ²du²³la	woo1ga2duu23la
ᎨᏦᎵᎪᎢ	ge²johl²go³ɂi	gee2johl2goo3-i
ᎩᏃᎵᎦ	gị²nohl²ga²	gi2nohl2ga2
ᎯᏯᏚᎵᎭ	hi²yạ²du²lị³ha	hii2ya2duu2li3ha
ᏥᏲᎵᏍᏗ	ji²yo²li³sdi	jii2yoo2lii3sdi
ᏫᏗᎪᏩᏔ	wị²dị²go¹wah²ta	wi2di2goo1wah2ta
ᏗᏣᏚᎸᏗ	dị²jạ²duhl²di	di2ja2duhl2di
ᏍᏉᎵᎪᎢ	sgwo²li²go³ɂi	sgwoo2lii2goo3-i
ᎦᏥᏲᎵᏍᏗ	gạ²ji²yo²hlị³sdi	ga2jii2yoo2hli3sdi
ᎡᎩᏃᎵᎪᎢ	e¹gị²no²li²go³ɂi	ee1gi2noo2lii2goo3-i
ᎡᏍᏙᎵᎪᎢ	e¹sdo²li²go³ɂi	ee1sdoo2lii2goo3-i
ᏫᎨᎦᏚᎳ	wị²ge²gạ²du²³la	wi2gee2ga2duu23la
ᏕᏥᎪᏩᏔ	de³ji²go¹wah²ta²	dee3jii2goo1wah2ta2
ᏫᎪᎦᏚᎳ	wị²go²gạ²du²³la	wi2goo2ga2duu23la
ᎦᎯᏯᏚᎵᎭ	gạ²hi²yạ²du²lị³ha	ga2hii2ya2duu2li3ha
ᏫᎪᏣᏚᎳ	wị²go²jạ²du²³la	wi2goo2ja2duu23la
ᎢᏣᏓᎪᏩᏛᏗ	i¹jạ²da²gowh²tvh³di	ii1ja2daa2gowh2tvh3di
ᏫᎬᏆᏚᎳ	wị²gv²gwạ²du²³la	wi2gvv2gwa2duu23la
ᎨᏍᏙᎵᎪᎢ	ge²sdohl²go³ɂi	gee2sdohl2goo3-i
ᏫᏨᏲᎵᎩ	wi¹jv²yohl²gi	wii1jvv2yohl2gi
ᏍᏛᏯᏚᎸᏗ	sdv²yạ²duhl²di	sdvv2ya2duhl2di
ᏬᎩᎾᏚᎳ	wo¹gị²nạ²du²³la	woo1gi2na2duu23la
ᏍᎩᏂᎪᎲᎢ	sgị²ni²go²hv²³ɂi	sgi2nii2goo2hvv23-i
ᏍᏓᏓᎪᏩᏛᏗ	sdạ²da²gowh²tvh³di	sdaa2daa2gowh2tvh3di
ᏕᏍᏗᎪᎲᎢ	de²sdi²go²hv²³ɂi	dee2sdii2goo2hvv23-i
ᏫᏗᏂᎪᏩᏔ	wị²dị²ni²go¹wah²ta	wi2di2nii2goo1wah2ta
ᎢᏍᎩᏯᏚᎵᎭ	i¹sgi²yạ²du²lị³ha	ii1sgii2ya2duu2li3ha
ᏫᎨᎩᎾᏚᎳ	wị²ge²gị²nạ²du²³la	wi2gee2gi2na2duu23la
ᏫᎪᎩᎾᏚᎳ	wị²go²gị²nạ²du²³la	wi2goo2gi2na2duu23la
ᏫᎪᏍᏓᏚᎳ	wị²go²sdạ²du²³la	wi2goo2sda2duu23la
ᏕᏣᏓᎪᏩᏘᎭ	de³jạ²da²gowh²tị³ha	dee3ja2daa2gowh2ti3ha
ᏕᏍᏓᏓᎪᏩᏘᎭ	de²sdạ²da²gowh²tị³ha	dee2sdaa2daa2gowh2ti3ha
ᎦᎷᎦ	gạɂ²lu¹ga²	ga-2luu1ga2
ᎯᎷᎦ	hịɂ²lu¹ga	hi-2luu1ga
ᎤᎮᏍᏗ	u¹he³sdi	uu1hee3sdi
ᎢᏂᎷᎦ	i¹niɂ²lu¹ga	ii1ni-2luu1ga
ᏣᎩᏍᏗ	jạ²gi¹sdi	ja2gii1sdi
ᎢᏗᎷᎦ	i¹diɂ²lu¹ga	ii1di-2luu1ga
ᎠᏂᎷᎦ	a¹niɂ²lu¹ga²	aa1ni-2luu1ga2
ᎡᎪᎵᏍᏗ	e¹go²li³sdi	ee1goo2lii3sdi
ᎢᏣᏘᏗ	i¹jạt²di	ii1jat2di
ᎡᏃᎵᏍᏗ	e¹no²li³sdi	ee1noo2lii3sdi
ᏓᎪᏩᏘᏍᎪᎢ	dạ²gowh²ti²³sgọ³ɂi	da2gowh2tii23sgo3-i
ᎡᏙᎵᏍᏗ	e¹do²li³sdi	ee1doo2lii3sdi
ᎡᏦᎵᏍᏗ	e¹jo²li³sdi	ee1joo2lii3sdi
ᎤᎾᏛᏅᎢ	u¹nạ²dv²hnv²³ɂi	uu1na2dvv2hnvv23-i
ᏫᎦᏓ	wị²gạ²da	wi2ga2da
ᎣᏥᎴᎦ	o¹jiɂ³le¹ga	oo1ji-3lee1ga
ᏍᏓᏘᏗ	sdạt²di	sdat2di
ᎣᏍᏗᎴᎦ	o²sdiɂ³le¹ga	oo2sdi-3lee1ga
ᏗᎩᎩᏍᏗ	dị²gi²gi¹sdi	di2gii2gii1sdi
ᎠᏥᎪᏩᏔ	a¹jị²go¹wah²ta²	aa1ji2goo1wah2ta2
ᏗᏣᏤᎵᎢ	dị²jạ²je²li⁴ɂi	di2jaa2jee2lii4-i
ᏕᏥᎮᏍᏗ	de³ji²he³sdi	dee3jii2hee3sdi
ᎥᏉᎵᏨᎢ	v¹gwohl²jv²³ɂi	vv1gwohl2jvv23-i
ᎨᏃᎵᏍᏗ	ge²no²hlị³sdi	gee2noo2hli3sdi
ᏧᏂᎩᏍᏗ	ju¹ni²gi¹sdi	juu1nii2gii1sdi
ᎨᏙᎵᏍᏗ	ge²do²li³sdi	gee2doo2lii3sdi
ᏩᏉᎵᎩ	wa¹gwohl²gi	waa1gwohl2gi
ᎨᏦᎵᏍᏗ	ge²jo²hlị³sdi	gee2joo2hli3sdi
ᏗᎩᏂᎩᏍᏗ	dị²gị²ni²gi¹sdi	di2gi2nii2gii1sdi
ᏫᎦᏚᎳ	wi¹gạ²du²³la	wii1ga2duu23la
ᎩᎾᏚᎵᎭ	gị²nạ²du²lị³ha	gi2na2duu2li3ha
ᎢᏨᎪᏩᏘᎭ	i¹jv²gowh²tị³ha	ii1jvv2gowh2ti3ha
ᏫᏧᏚᎳ	wị²ju²du²³la	wi2juu2duu23la
ᏬᎪᎵᎩ	wo¹gohl²gi	woo1gohl2gi
ᎬᏲᎵᏨᎢ	gv²yo²li²jv²³ɂi	gvv2yoo2lii2jvv23-i
ᏍᏉᎵᏍᏗ	sgwo²li³sdi	sgwoo2lii3sdi
ᎯᏯᏚᎸᏗ	hi²yạ²duhl²di	hii2ya2duhl2di
ᎡᎩᏃᎵᏍᏗ	e¹gị²no²li³sdi	ee1gi2noo2lii3sdi
ᏥᏲᎵᏨᎢ	ji²yo²li²jv²³ɂi	jii2yoo2lii2jvv23-i
ᎡᏍᏙᎵᏍᏗ	e¹sdo²li³sdi	ee1sdoo2lii3sdi
ᎨᏍᏙᎵᏍᏗ	ge²sdo²hlị³sdi	gee2sdoo2hli3sdi
ᏫᎨᎪᎵᎩ	wị²ge²gohl²gi	wi2gee2gohl2gi
ᎦᏥᏲᎵᏨᎢ	gạ²ji²yohl²jv²³ɂi	ga2jii2yohl2jvv23-i
ᏓᏂᎪᏩᏘᏍᎪᎢ	da¹ni²gowh²ti²³sgọ³ɂi	daa1nii2gowh2tii23sgo3-i
ᏫᎪᎪᎵᎩ	wị²go²gohl²gi	wi2goo2gohl2gi
ᏫᎪᏦᎵᎩ	wị²go²johl²gi	wi2goo2johl2gi
ᏫᎬᏉᎵᎩ	wị²gv²gwohl²gi	wi2gvv2gwohl2gi
ᏍᎩᏂᎪᏩᏔ	sgị²ni²go¹wah²ta	sgi2nii2goo1wah2ta
ᎦᎯᏯᏚᎸᏗ	gạ²hi²yạ²duhl²di	ga2hii2ya2duhl2di
ᏫᏗᏆᏚᎳ	wị²dị¹gwạ²du²³la	wi2di1gwa2duu23la
ᏬᎩᏃᎵᎩ	wo¹gị²nohl²gi	woo1gi2nohl2gi
ᏫᏦᎦᏚᎳ	wị²jo¹gạ²du²³la	wi2joo1ga2duu23la
ᏍᏛᏲᎵᎪᎢ	sdv²yo²li²go³ɂi	sdvv2yoo2lii2goo3-i
ᎢᏣᏓᏙᎵᎪᎢ	i¹jạ²da²dohl²go³ɂi	ii1ja2daa2dohl2goo3-i
ᎢᏍᎩᏯᏚᎸᏗ	i¹sgi²yạ²duhl²di	ii1sgii2ya2duhl2di
ᏍᏓᏓᏙᎵᎪᎢ	sdạ²da²dohl²go³ɂi	sdaa2daa2dohl2goo3-i
ᏫᎨᎩᏃᎵᎩ	wị²ge²gị²nohl²gi	wi2gee2gi2nohl2gi
ᏕᏍᏗᎪᏩᏔ	de²sdi²go¹wah²ta²	dee2sdii2goo1wah2ta2
ᏫᎪᎩᏃᎵᎩ	wị²go²gị²nohl²gi	wi2goo2gi2nohl2gi
ᏕᏣᏓᏙᎵᎪᎢ	de³jạ²da²dohl²go³ɂi	dee3ja2daa2dohl2goo3-i
ᏫᎪᏍᏙᎵᎩ	wị²go²sdohl²gi	wi2goo2sdohl2gi
ᏕᏍᏓᏓᏙᎵᎪᎢ	de²sdạ²da²dohl²go³ɂi	dee2sdaa2daa2dohl2goo3-i
ᏫᏦᎩᎾᏚᎳ	wị²jo¹gị²nạ²du²³la	wi2joo1gi2na2duu23la
ᎤᎸᏍᏗ	u¹lv¹sdi	uu1lvv1sdi
ᎪᎵᎦ	gohl²ga	gohl2ga
ᎯᎷᎦ	hịɂ²lu¹ga²	hi-2luu1ga2
ᏚᏚᎸᎲᎢ	du²du²lv²hv²³ɂi	duu2duu2lvv2hvv23-i
ᎠᎩᎩᏍᏗ	a¹gị²gi¹sdi	aa1gi2gii1sdi
ᎡᎪᎵᏨᎢ	e¹go²li²jv²³ɂi	ee1goo2lii2jvv23-i
ᎢᏂᎷᎦ	i¹niɂ²lu¹ga²	ii1ni-2luu1ga2
ᏣᎪᎲᎢ	jạ²go²hv²³ɂi	ja2goo2hvv23-i
ᎡᏃᎵᏨᎢ	e¹no²li²jv²³ɂi	ee1noo2lii2jvv23-i
ᎠᏃᎵᎦ	a¹nohl²ga	aa1nohl2ga
ᎢᏗᎷᎦ	i¹diɂ²lu¹ga²	ii1di-2luu1ga2
ᎡᏙᎵᏨᎢ	e¹do²li²jv²³ɂi	ee1doo2lii2jvv23-i
ᎡᏦᎵᏨᎢ	e¹jo²li²jv²³ɂi	ee1joo2lii2jvv23-i
ᏫᎨᎾ	wị²ge¹na	wi2gee1na
ᎢᏣᏚᎳ	i¹jạ²du²³la	ii1ja2duu23la
ᎣᏥᎷᎦ	o¹jiɂ²lu¹ga²	oo1ji-2luu1ga2
ᎤᎾᏤᎵᎢ	u¹nạ²je²li⁴ɂi	uu1naa2jee2lii4-i
ᎣᏍᏗᎷᎦ	o²sdiɂ²lu¹ga²	oo2sdi-2luu1ga2
ᎣᎦᏚᎵᎭ	o¹gạ²du²lị³ha	oo1ga2duu2li3ha
ᏗᏥᎩᏍᏗ	dị²ji²gi¹sdi	di2jii2gii1sdi
ᏍᏓᏚᎳ	sdạ²du²³la	sda2duu23la
ᎢᏨᎪᏩᏛᏗ	i¹jv²gowh²tvh³di	ii1jvv2gowh2tvh3di
ᎨᎦᏚᎸᎲᎢ	ge²gạ²du²lv²hv²³ɂi	gee2ga2duu2lvv2hvv23-i
ᎨᏃᎵᏨᎢ	ge²nohl²jv²³ɂi	gee2nohl2jvv23-i
ᏫᎪᎵᎩ	wi¹gohl²gi	wii1gohl2gi
ᎨᏙᎵᏨᎢ	ge²do²li²jv²³ɂi	gee2doo2lii2jvv23-i
ᏕᏍᏗᎮᏍᏗ	de²sdi²he³sdi	dee2sdii2hee3sdi
ᎨᏦᎵᏨᎢ	ge²johl²jv²³ɂi	gee2johl2jvv23-i
ᎩᎾᏚᎸᏗ	gị²nạ²duhl²di	gi2na2duhl2di
ᎪᎦᏚᎸᎲᎢ	go²gạ²du²lv²hv²³ɂi	goo2ga2duu2lvv2hvv23-i
ᎪᏣᏚᎸᎲᎢ	go²jạ²du²lv²hv²³ɂi	goo2ja2duu2lvv2hvv23-i
ᏩᏥᎪᏩᏔ	wa¹jị²go¹wah²ta	waa1ji2goo1wah2ta
ᏍᏉᎵᏨᎢ	sgwo²li²jv²³ɂi	sgwoo2lii2jvv23-i
ᏧᏃᎵᏍᏗ	ju¹no²hlị³sdi	juu1noo2hli3sdi
ᏫᎬᎪᏩᏔ	wị²gv²go¹wah²ta	wi2gvv2goo1wah2ta
ᏓᏆᏚᎸᎲᎢ	da¹gwạ²du²lv²hv²³ɂi	daa1gwa2duu2lvv2hvv23-i
ᏕᎦᏚᎸᎲᎢ	de³gạ²du²lv²hv²³ɂi	dee3ga2duu2lvv2hvv23-i
ᎯᏲᎵᎪᎢ	hi²yo²li²go³ɂi	hii2yoo2lii2goo3-i
ᏕᏣᏚᎸᎲᎢ	de²jạ²du²lv²hv²³ɂi	dee2ja2duu2lvv2hvv23-i
ᏫᏥᎪᏩᏔ	wị²ji²go¹wah²ta	wi2jii2goo1wah2ta
ᎡᎩᏃᎵᏨᎢ	e¹gị²no²li²jv²³ɂi	ee1gi2noo2lii2jvv23-i
ᎡᏍᏙᎵᏨᎢ	e¹sdo²li²jv²³ɂi	ee1sdoo2lii2jvv23-i
ᏙᎦᏚᎸᎲᎢ	do¹gạ²du²lv²hv²³ɂi	doo1ga2duu2lvv2hvv23-i
ᏮᎩᎪᏩᏔ	wv¹gị²go¹wah²ta	wvv1gi2goo1wah2ta
ᎬᎩᎪᏩᏘᎭ	gv²gi²gowh²tị³ha	gvv2gii2gowh2ti3ha
ᎨᏍᏙᎵᏨᎢ	ge²sdohl²jv²³ɂi	gee2sdohl2jvv23-i
ᎣᎩᎾᏚᎵᎭ	o¹gị²nạ²du²lị³ha	oo1gi2na2duu2li3ha
ᎦᎯᏲᎵᎪᎢ	gạ²hi²yohl²go³ɂi	ga2hii2yohl2goo3-i
ᎨᎩᎾᏚᎸᎲᎢ	ge²gị²nạ²du²lv²hv²³ɂi	gee2gi2na2duu2lvv2hvv23-i
ᎢᏣᏓᏙᎵᏍᏗ	i¹jạ²da²do²hlị³sdi	ii1ja2daa2doo2hli3sdi
ᎪᎩᎾᏚᎸᎲᎢ	go²gị²nạ²du²lv²hv²³ɂi	goo2gi2na2duu2lvv2hvv23-i
ᏫᎦᏥᎪᏩᏔ	wị²gạ²ji²go¹wah²ta	wi2ga2jii2goo1wah2ta
ᎪᏍᏓᏚᎸᎲᎢ	go²sdạ²du²lv²hv²³ɂi	goo2sda2duu2lvv2hvv23-i
ᏍᏛᏲᎵᎪᎢ	sdv²yohl²go³ɂi	sdvv2yohl2goo3-i
ᏍᏓᏓᏙᎵᏍᏗ	sdạ²da²do²hlị³sdi	sdaa2daa2doo2hli3sdi
ᏕᎩᎾᏚᎸᎲᎢ	de²gị²nạ²du²lv²hv²³ɂi	dee2gi2na2duu2lvv2hvv23-i
ᎢᏍᎩᏲᎵᎪᎢ	i¹sgi²yohl²go³ɂi	ii1sgii2yohl2goo3-i
ᏕᏣᏓᏙᎵᏨᎢ	de³jạ²da²dohl²jv²³ɂi	dee3ja2daa2dohl2jvv23-i
ᏙᎩᎾᏚᎸᎲᎢ	do¹gị²nạ²du²lv²hv²³ɂi	doo1gi2na2duu2lvv2hvv23-i
ᏍᎩᏂᎪᏩᏔ	sgị²ni²go¹wah²ta²	sgi2nii2goo1wah2ta2
ᏕᏍᏓᏓᏙᎵᏨᎢ	de²sdạ²da²dohl²jv²³ɂi	dee2sdaa2daa2dohl2jvv23-i
ᎤᎸᏒᎢ	u¹lv³²sv²³ɂi	uu1lvv32svv23-i
ᎪᎵᎦ	gohl²ga²	gohl2ga2
ᎰᎵᎦ	hohl²ga	hohl2ga
ᎠᎦᏚᎸᎲᎢ	a¹gạ²du²lv²hv²³ɂi	aa1ga2duu2lvv2hvv23-i
ᎠᏃᎵᎦ	a¹nohl²ga²	aa1nohl2ga2
ᏣᎪᏩᏔ	jạ²go¹wah²ta²	ja2goo1wah2ta2
ᎤᏁᏅᏍᏗ	u¹ne²nv¹sdi	uu1nee2nvv1sdi
ᎡᎦᏚᎸᎲᎢ	e¹gạ²du²lv²hv²³ɂi	ee1ga2duu2lvv2hvv23-i
ᎠᎩᎪᎲᎢ	a¹gị²go²hv²³ɂi	aa1gi2goo2hvv23-i
ᎡᎾᏚᎸᎲᎢ	e¹nạ²du²lv²hv²³ɂi	ee1na2duu2lvv2hvv23-i
ᎩᎾᏛᏅᎢ	gị²nạ²dv²hnv²³ɂi	gi2na2dvv2hnvv23-i
ᎡᏓᏚᎸᎲᎢ	e¹dạ²du²lv²hv²³ɂi	ee1da2duu2lvv2hvv23-i
ᎡᏣᏚᎸᎲᎢ	e¹jạ²du²lv²hv²³ɂi	ee1ja2duu2lvv2hvv23-i
ᎢᎦᏚᎵᎭ	i¹gạ²du²lị³ha	ii1ga2duu2li3ha
ᎢᏣᏚᎳ	i¹jạ²du²³la²	ii1ja2duu23la2
ᎣᎦᏚᎸᏗ	o¹gạ²duhl²di	oo1ga2duhl2di
ᏫᏥᎦ	wị²jị²ga	wi2ji2ga
ᎢᏃᎵᎦ	i¹nohl²ga	ii1nohl2ga
ᎢᏙᎵᎦ	i¹dohl²ga	ii1dohl2ga
ᎣᏦᎵᎦ	o¹jo²li¹ga	oo1joo2lii1ga
ᎨᎾᏚᎸᎲᎢ	ge²nạ²du²lv²hv²³ɂi	gee2na2duu2lvv2hvv23-i
ᎨᏓᏚᎸᎲᎢ	ge²dạ²du²lv²hv²³ɂi	gee2da2duu2lvv2hvv23-i
ᎨᏣᏚᎸᎲᎢ	ge²jạ²du²lv²hv²³ɂi	gee2ja2duu2lvv2hvv23-i
ᏗᏥᎪᏩᏔ	dị²ji²go¹wah²ta	di2jii2goo1wah2ta
ᎯᏲᎵᏍᏗ	hi²yo²li³sdi	hii2yoo2lii3sdi
ᎥᎩᎪᏩᏘᎭ	v¹gị²gowh²tị³ha	vv1gi2gowh2ti3ha
ᏍᏓᏚᎳ	sdạ²du²³la²	sda2duu23la2
ᎨᎩᎪᏩᏘᎭ	ge²gi²gowh²tị³ha	gee2gii2gowh2ti3ha
ᏚᏬᎵᏨᎢ	du²wohl²jv²³ɂi	duu2wohl2jvv23-i
ᎬᎩᎪᏩᏛᏗ	gv²gi²gowh²tvh³di	gvv2gii2gowh2tvh3di
ᎪᎩᎪᏩᏘᎭ	go²gi²gowh²tị³ha	goo2gii2gowh2ti3ha
ᎦᎯᏲᎵᏍᏗ	gạ²hi²yo²hlị³sdi	ga2hii2yoo2hli3sdi
ᎪᏥᎪᏩᏘᎭ	go²ji²gowh²tị³ha	goo2jii2gowh2ti3ha
ᏗᎩᎪᏩᏛᏗ	dị²gi²gowh²tvh³di	di2gii2gowh2tvh3di
ᏗᎩᎪᏩᏛᏗ	dị¹gị²gowh²tvh³di	di1gi2gowh2tvh3di
ᏗᏣᎪᏩᏛᏗ	dị²jạ²gowh²tvh³di	di2ja2gowh2tvh3di
ᎡᎩᎾᏚᎸᎲᎢ	e¹gị²nạ²du²lv²hv²³ɂi	ee1gi2na2duu2lvv2hvv23-i
ᏍᎩᎪᏩᏘᎭ	sgị²gowh²tị³ha	sgii2gowh2ti3ha
ᎡᏍᏓᏚᎸᎲᎢ	e¹sdạ²du²lv²hv²³ɂi	ee1sda2duu2lvv2hvv23-i
ᏦᎩᎪᏩᏛᏗ	jo¹gi²gowh²tvh³di	joo1gii2gowh2tvh3di
ᎢᏨᏯᏚᎵᎭ	i¹jv²yạ²du²lị³ha	ii1jvv2ya2duu2li3ha
ᎣᏍᏙᎵᎦ	o¹sdo²li¹ga	oo1sdoo2lii1ga
ᎣᎩᎾᏚᎸᏗ	o¹gị²nạ²duhl²di	oo1gi2na2duhl2di
ᏍᏛᏲᎵᏍᏗ	sdv²yo²li³sdi	sdvv2yoo2lii3sdi
ᏫᎬᏯᏚᎳ	wị²gv²yạ²du²³la	wi2gvv2ya2duu23la
ᎢᏍᎩᏲᎵᏍᏗ	i¹sgi²yo²hlị³sdi	ii1sgii2yoo2hli3sdi
ᏫᏥᏯᏚᎳ	wị²ji²yạ²du²³la	wi2jii2ya2duu23la
ᏍᎩᏃᎵᎪᎢ	sgị²no²li²go³ɂi	sgi2noo2lii2goo3-i
ᎢᏣᏓᏙᎵᏨᎢ	i¹jạ²da²dohl²jv²³ɂi	ii1ja2daa2dohl2jvv23-i
